,=SUM(B2:B730),"=ROUND(B1/((365-30-5-12-104)*7.7/12), 2)"
22.9.23,5,ui
25.9.23,2,ui
29.9.23,5,"ui, ui-assembler"
30.9.23,6,ui-assembler
01.10.23,6,"ui-assembler, signature"
03.10.23,3,backend preparation
04.10.23,2,ui-assembler
05.10.23,2,"ui, ui-assembler"
06.10.23,2,"ui-assembler, signature"
07.10.23,12,"ui, qr-reader, ui-composer"
13.10.23,8,ui-composer
14.10.23,10,ui-composer
18.10.23,2,ui-composer
20.10.23,6,"ui-assembler, ui-composer"
21.10.23,8,"ui-assembler, ui-composer"
25.10.23,2,ui
27.10.23,7,user-api
28.10.23,10,"user-api, document-api"
29.10.23,9,"api, login, permissions"
30.10.23,7,"sql-queries, language setup"
31.10.23,5,api
01.11.23,3,restful api
03.11.23,9,"restful api, csv-filter"
04.11.23,8,csv-filter
09.11.23,4,csv-filter
10.11.23,5,consumables-api
11.11.23,8,consumables-api
12.11.23,5,"fileserver, api"
18.11.23,8,consumables-api
19.11.23,4,api
30.11.23,2,ui-assembler
01.12.23,6,order-api
09.12.23,6,order-api
15.12.23,7,order-api
21.12.23,1,repo
22.12.22,7,order-api
23.12.23,6,conversation-api
27.12.23,1,conversation-api
28.12.23,1,order-api
29.12.23,7,order-api
30.12.23,8,"service-worker, conversation-api"
01.01.24,4,service-worker
03.01.24,1,"conversation-api, service-worker"
04.01.24,2,service-worker
05.01.24,4,"service-worker, ui"
06.01.24,4,"service-worker, notifications"
07.01.24,2,notifications
10.01.24,1,file-api
12.01.24,7,"file-api, user-api"
13.01.24,10,"tool-api, stl-viewer, 2d code generator, application-api, manual"
14.01.24,2,"consumables-api, install routine"
17.01.24,3,ui-assembler
19.01.24,8,"ui, ui-assembler"
20.01.24,5,"ui, ui-assembler"
21.01.24,1,user-api
25.01.24,1,ui-assembler
26.01.24,4,ui
27.01.24,11,"ui, order-api"
30.01.24,1,ui
31.01.24,2,ui
01.02.24,2,"ui, scanner"
02.02.24,8,"order-api, ui-composer"
03.02.24,7,ui-composer
05.02.24,3,ui-composer
06.02.24,2,"ui-assembler, ui-composer"
09.02.24,8,"order-api, ui-assembler, ui-composer"
12.02.24,1,ui
14.02.24,6,"order-api, user-api, document-api"
15.02.24,1,document-api
16.02.24,6,document-api
18.02.24,2,documentation
19.02.24,2,document-api
23.02.24,8,texttemplate-api
24.02.24,8,"texttemplate-api, csvfilter-api, csvfilter"
01.03.24,8,"pdf-library, record-api"
02.03.24,8,record-api
04.03.24,2,record-api
08.03.24,4,"texttemplate-api, record-api"
