"Einlagen";"Eigenschaft mit Auswirkungen auf die Sicherheit";"Gültigkeit am 2025-10-18 19:04:59";
;;;
"Eigenschaft mit Auswirkungen auf die Sicherheit";"Relevant";"Ursache";"Risikobezug"
"Bestimmungsgemäßer Gebrauch und Anwendung: besondere Schulung";"nein";;
"Bestimmungsgemäßer Gebrauch und Anwendung: Installation des Produktes durch besonderes Personal";"nein";;
"Bestimmungsgemäßer Gebrauch und Anwendung: Kultureller Hintergrund / Kenntnisniveau des Anwenders";"nein";;
"Rolle des Medizinproduktes: Erkennen von Krankheiten/Verletzungen";"nein";;
"Rolle des Medizinproduktes: Verhüten von Krankheiten/Verletzungen";"nein";;
"Rolle des Medizinproduktes: Überwachen von Krankheiten/Verletzungen";"nein";;
"Rolle des Medizinproduktes: Das Produkt ist lebenserhaltend";"nein";;
"Rolle des Medizinproduktes: Das Produkt ist lebensunterstützend";"nein";;
"Rolle des Medizinproduktes: Besondere Handlungen im Falle eines Ausfalls des Medizinproduktes";"nein";;
"Rolle des Medizinproduktes: Besondere Bedenken bezüglich Schnittstellen, die zu unbeabsichtigten Bedienfehlern beitragen könnten (Med.-Geräte)";"nein";;
"Kontakt: Oberflächenkontakt vorübergehend (< 60 min. ununterbrochen)";"nein";;
"Kontakt: Oberflächenkontakt langzeitig (> 30 Tage ununterbrochen)";"nein";;
"Kontakt: invasiver Kontakt (Dauer, Häufigkeit)";"nein";;
"Kontakt: Implantat";"nein";;
"Energietransfer: übertragende Energieart";"nein";;
"Energietransfer: Beschaffenheit";"nein";;
"Energietransfer: Menge";"nein";;
"Energietransfer: Dauer";"nein";;
"Zuführung von Substanzen: Zuführung oder Abführung der Stoffe";"nein";;
"Zuführung von Substanzen: Einzelsubstanz";"nein";;
"Zuführung von Substanzen: Reihe von Substanzen";"nein";;
"Zuführung von Substanzen: Zufuhrraten";"nein";;
"Zuführung von Substanzen: Steuerung";"nein";;
"Bearbeitung von Substanzen zur Wiederverwendung";"nein";;
"Sterilität, Sterilisation, mikrobiologische Beherrschbarkeit: Einmalgebrauch";"nein";;
"Sterilität, Sterilisation, mikrobiologische Beherrschbarkeit: Verpackung";"nein";;
"Sterilität, Sterilisation, mikrobiologische Beherrschbarkeit: Haltbarkeitsdauer";"nein";;
"Sterilität, Sterilisation, mikrobiologische Beherrschbarkeit: Begrenzung";"nein";;
"Sterilität, Sterilisation, mikrobiologische Beherrschbarkeit: Häufigkeit der Wiederverwendung";"nein";;
"Sterilität, Sterilisation, mikrobiologische Beherrschbarkeit: Verfahren der Sterilisation";"nein";;
"Reinigung durch Anwender: Begrenzung der Anzahl der Reinigungszyklen";"nein";;
"Reinigung durch Anwender: Design des Medizinprodukts";"nein";;
"Änderungen an der Umgebung durch das Medizinprodukt: Temperatur";"nein";;
"Änderungen an der Umgebung durch das Medizinprodukt: Feuchtigkeit";"nein";;
"Änderungen an der Umgebung durch das Medizinprodukt: Zusammensetzung des atmosphärischen Gases";"nein";;
"Änderungen an der Umgebung durch das Medizinprodukt: Luftdruck";"nein";;
"Änderungen an der Umgebung durch das Medizinprodukt: Lichtverhältnisse";"nein";;
"Messungen: gemessene Variablen";"nein";;
"Messungen: Genauigkeit und Präzision der Messung";"nein";;
"Lieferung interpretierter Aussagen: Schlussfolgerungen aus Eingabedaten oder erfassten Daten";"nein";;
"Lieferung interpretierter Aussagen: Algorithmen und die Vertrauensbereiche";"nein";;
"Beinflussung, Steuerung von oder Wechselwirkung bei Abgabe von Medikamenten: Produkte und Medikamente, die beteiligt sein können";"nein";;
"Beinflussung, Steuerung von oder Wechselwirkung bei Abgabe von Medikamenten: mögliche Probleme mit Wechselwirkungen";"nein";;
"Beinflussung, Steuerung von oder Wechselwirkung bei Abgabe von Medikamenten: Verträglichkeit der Therapie";"nein";;
"Unerwünschte Abgabe von Energie und Substanzen: energetischen Faktoren (Geräusche, Schwingungen, Wärme, Strahlung, Kontakttemperatur, Leckströme, elektrische und/oder magnetische Felder)";"nein";;
"Empfindlichkeit gegen Umwelteinflüsse: Licht";"nein";;
"Empfindlichkeit gegen Umwelteinflüsse: Schwingungen";"nein";;
"Empfindlichkeit gegen Umwelteinflüsse: Empfindlichkeit gegenüber Schwankungen in der Energieversorgung";"nein";;
"Empfindlichkeit gegen Umwelteinflüsse: Kühlung";"nein";;
"Beeinflussung der Umwelt: Auswirkungen auf die Strom- und Kühlmittelversorgung";"nein";;
"Beeinflussung der Umwelt: Abgabe toxischer Substanzen";"nein";;
"Beeinflussung der Umwelt: Erzeugung elektromagnetischer Störfelder";"nein";;
"Verbrauchsmaterialen und Zubehör: Spezifikationen für solche Verbrauchsmaterialen";"nein";;
"Verbrauchsmaterialen und Zubehör: Zubehörteile";"nein";;
"Verbrauchsmaterialen und Zubehör: jegliche Einschränkungen, die dem Anwender bei deren Auswahl auferlegt sind.";"nein";;
"Software: Installation, Verifizierung, Änderung oder Austausch der Software";"nein";;
"Software: Anwender und/oder Bediener vorgesehen?";"nein";;
"Begrenzung der Nutzungsdauer: Entsorgung";"nein";;
"Einwirkende mechanische Kräfte auf das Produkt: Belastung vom Anwender / Dritten beeinflussbar";"nein";;
"Einwirkende mechanische Kräfte auf das Produkt: Belastung unabhängig vom Anwender / Dritten";"nein";;
"Einfluss auf die Lebensdauer des Produkts: Erschöpfung von Batterien/Akkus";"nein";;
