"Orthetik obere Extremität";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"1 Gefährdungen durch Energien 1.1 Elektrizität";"ja";"Zu hoch eingestellte Stromstärke am FES-System";"Verbrennung, Hautschädigung, gesundheitliche Beeinträchtigung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, systematische Anprobe und Konfiguration durch qualifizierte Mitarbeiter, Unterweisung der Patienten";"unwahrscheinlich";"besonders hoch";"Innerhalb des definierten Akzeptanzniveaus";"Ist das Versorgungskonzept auf Basis der Erhebung festgelegt, stellen andere Konzepte eine Verschlechterung der Versorgungssituation dar und gefährden damit den Versorgungs/Therapieerfolg.";
"1 Gefährdungen durch Energien 1.2 Hitze";"ja";"Übermäßige Erhitzung von Akkumulatoren, Hydrauliken, E-Motoren bei extremer Nutzung der Orthese";"Verbrennungsgefahr bei Berührung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, Beachtung der Herstellerrichtlinien, Unterweisung der Patienten";"unwahrscheinlich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: bestimmungsgemäßer Gebrauch, Einsatz und Belastungsgrenzen, Inspektion / Festlegung von Wartungsintervallen"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte";"ja";"Einklemmen durch fehlende Gelenkabdeckungen";"Haut- oder Weichteilschädigung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Schutzbezug der Gelenke";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken, Inspektion / Wartung"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte";"ja";"Einklemmen durch fehlende Gelenkabdeckungen";"Haut- oder Weichteilschädigung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Schutzbezug der Gelenke";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken, Inspektion / Wartung"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"Quengelfeder zu stark eingestellt";"Einklemmen von Körperteilen, strukturelle Veränderungen";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter; Unterweisung der Patienten";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"Sperre bei dynamischen Gelenken nicht fixiert";"Einklemmen von Körperteilen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"2 Biologische Gefährdungen 2.10 erneute und/oder Kreuzinfektion
8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Mangelnde Sorgfalt im OT-Betrieb";"Infektionen, Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Maßnahmen laut QM-Handbuch: Sauberkeit und Hygiene, Mitarbeiterschulung intern";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"2 Biologische Gefährdungen 2.11 Pyrogenität
3 Gefährdungen durch die Umwelt 3.6 Lagerung oder Betrieb außerhalb der vorgeschriebenen Umweltbedingungen
3 Gefährdungen durch die Umwelt 3.11 Entflammbarkeit";"ja";"Lagerung an Hitzequellen; Mangelnde Sicherheit bei Umgang mit offenem Feuer oder Hitzequelle, Lagerung oder Betrieb außerhalb der Spezifikation";"Verlust der Passform und des Hilfsmittels, Funktionsstörung; Verbrennungen und Vergiftungen durch Verbrennungsprodukte";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen"
"2 Biologische Gefährdungen 2.12 Unfähigkeit, die hygienische Sicherheit aufrechtzuerhalten
2 Biologische Gefährdungen 2.5 Allergenität";"ja";"Mangelnde Körperpflege/ Reinigung der Orthese";"Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung, Infektionen";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Körperpflege, Reinigung / Desinfektion"
"2 Biologische Gefährdungen 2.13 Abbau des Werkstoffs
3 Gefährdungen durch die Umwelt 3.10 unzureichende Beständigkeit gegen Schweiß";"ja";"Materialverschleiß, Materialzersetzung";"Hautschädigung durch Materialermüdung, Bruch der Orthese, Sturzgefahr durch unzureichende elektronische oder mechanische Funktionalität";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Herstellerrichtlinien einhalten";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen und generelle Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Bestimmungsgemäßer Gebrauch, Einsatz- und Belastungsgrenzen, Inspektion / Wartung"
"2 Biologische Gefährdungen 2.2 biologische Unverträglichkeit";"ja";"Infektion und mikrobiologische Verseuchung durch Kontakt mit Leder auf verletzter Haut";"Reizung, Unverträglichkeit, Sensibilisierung, Infektion";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Verwendung von geeigneten Materialien gemäß Risikomanagement";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Maßnahmen bei verletzter Haut"
