"Orthetik untere Extremität";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"1 Gefährdungen durch Energien 1.1 Elektrizität";"ja";"Zu hoch eingestellte Stromstärke am FES-System";"Verbrennung, Hautschädigung, gesundheitliche Beeinträchtigung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, systematische Anprobe und Konfiguration durch qualifizierte Mitarbeiter, Unterweisung der Patienten";"unwahrscheinlich";"besonders hoch";"Innerhalb des definierten Akzeptanzniveaus";"Ist das Versorgungskonzept auf Basis der Erhebung festgelegt, stellen andere Konzepte eine Verschlechterung der Versorgungssituation dar und gefährden damit den Versorgungs/Therapieerfolg.";
"1 Gefährdungen durch Energien 1.2 Hitze";"ja";"Übermäßige Erhitzung von Akkumulatoren, Hydrauliken, E-Motoren bei extremer Nutzung der Orthese";"Verbrennungsgefahr bei Berührung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, Beachtung der Herstellerrichtlinien, Unterweisung der Patienten";"unwahrscheinlich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: bestimmungsgemäßer Gebrauch, Einsatz und Belastungsgrenzen, Inspektion / Festlegung von Wartungsintervallen"
"1 Gefährdungen durch Energien 1.2 Hitze";"ja";"Übermäßige Erhitzung von Akkumulatoren, Hydrauliken, E-Motoren bei extremer Nutzung der Orthese";"Verbrennungsgefahr bei Berührung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, Beachtung der Herstellerrichtlinien, Unterweisung der Patienten";"unwahrscheinlich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: bestimmungsgemäßer Gebrauch, Einsatz und Belastungsgrenzen, Inspektion / Festlegung von Wartungsintervallen"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte";"ja";"Einklemmen durch fehlende Gelenkabdeckungen";"Haut- oder Weichteilschädigung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Schutzbezug der Gelenke";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken, Inspektion / Wartung"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"Quengelfeder zu stark eingestellt";"Einklemmen von Körperteilen, strukturelle Veränderungen";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter; Unterweisung der Patienten";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"1 Gefährdungen durch Energien 1.6 bewegte Teile";"ja";;"Einklemmen von Körperteilen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA"
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"Bremswirkung zu gering bzw. Ansprechschwelle zu hoch eingestellt oder statischer Aufbau nicht korrekt, falsche Anziehtechnik";"Sturzgefahr durch Unbeabsichtigtes Einbeugen des Orthesenkniegelenks beim Anziehen der Orthese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"mechanische Kniegelenke: Sperrfeder zu straff, Entriegelungshebel zu klein";"Sturzgefahr, weil Sperre nicht ausrastet";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"Sperrzug zu lang, zu locker oder kein geradliniger Verlauf";"Sturzgefahr, weil Sperre nicht ausrastet";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, bei Wartung überprüfen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"1 Gefährdungen durch Energien 1.8 aufgehängte Massen";"ja";"Orthesengewicht zu hoch";"Unsicherheit beim Laufen, Stolpergefahr";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Kundengerechte Materialauswahl";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"2 Biologische Gefährdungen 2.10 erneute und/oder Kreuzinfektion
8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Mangelnde Sorgfalt im OT-Betrieb";"Infektionen, Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Maßnahmen laut QM-Handbuch: Sauberkeit und Hygiene, Mitarbeiterschulung intern";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"2 Biologische Gefährdungen 2.11 Pyrogenität
3 Gefährdungen durch die Umwelt 3.6 Lagerung oder Betrieb außerhalb der vorgeschriebenen Umweltbedingungen
3 Gefährdungen durch die Umwelt 3.11 Entflammbarkeit";"ja";"Lagerung an Hitzequellen; Mangelnde Sicherheit bei Umgang mit offenem Feuer oder Hitzequelle, Lagerung oder Betrieb außerhalb der Spezifikation";"Verlust der Passform und des Hilfsmittels, Funktionsstörung; Verbrennungen und Vergiftungen durch Verbrennungsprodukte";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen"
