"Prothetik untere Extremität";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"1 Gefährdungen durch Energien 1.2 Hitze";"ja";"Übermäßige Erhitzung von Akkumulatoren, Hydrauliken, E-Motoren bei extremer Nutzung der Orthese";"Verbrennungsgefahr bei Berührung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, Beachtung der Herstellerrichtlinien, Unterweisung der Patienten";"unwahrscheinlich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: bestimmungsgemäßer Gebrauch, Einsatz und Belastungsgrenzen, Inspektion / Festlegung von Wartungsintervallen"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte";"ja";"Bei Gelenken mit mechanischen Vorbringern kann das Kniegelenk ohne axiale Belastung leicht einbeugen ggf. Klemmschutz anbringen z.B. Kosmetik; bei Prothesen ohne Kosmetik oder mit Protektor kann das Kniegelenk ohne axiale Belastung einbeuge";"Einklemmen der Finger durch Einbeugen des Prothesenkniegelenks beim Hantieren mit der nicht am Stumpf angelegten Prothese";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter, Prothesengebrauchsschulung";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte";"ja";"Nutzung von Sportgeräten (Hometrainer, Ski, Fahrrad)";"Vorzeitiger Verschleiß, Zerstörung durch Überbelastung";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Ausschluss"
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte";"ja";"Orthoprothese; Mischung v. Komponenten untersch. Hersteller";"Defekt/ Bruch durch Inkompatibiliät";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Herstellerrichtlinien beachten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"1 Gefährdungen durch Energien 1.3 mechanische Kräfte";"ja";"Überlastung des Materials, Alterung";"Sturzgefahr und Verletzungsgefahr durch Risse im proximalen Schaftbereich";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung , Wartungsintervalle"
"1 Gefährdungen durch Energien 1.6 bewegte Teile";"ja";"ungeschützte oder offene Gelenkkonstruktion";"Einklemmen von Körperteilen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA"
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"Bei Knien oder Füßen mit Aktorik: unbeabsichtigtes Auslösen von Steuerimpulsen";"Sturzgefahr durch unbeabsichtigtes Einbeugen des Prothesenkniegelenks oder Stolpern durch falsche Stellung des Knöchelgelenks";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, Prothesengebrauchsschulung, Unterweisung der Patienten";"unwahrscheinlich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"Bodenreaktionskraft gesteuerte MPG Kniesysteme können bei Belastung des Vorfußes im Stehen einknicken";"Sturzgefahr, weil Hydraulik deaktiviert wird";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"Bremswirkung zu gering bzw. Ansprechschwelle zu hoch eingestellt oder statischer Aufbau nicht korrekt, falsche Anziehtechnik";"Sturzgefahr durch Unbeabsichtigtes Einbeugen des Prothesenkniegelenks beim Anziehen der Prothese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"1 Gefährdungen durch Energien 1.7 unbeabsichtigte Bewegungen";"ja";"In der Schwungphase bewegt die Prothese sich nach distal, ohne dass der Schaft vom Stumpf gleitet. Schaft ist zu eng, Stumpf nicht tief genug in den Schaft eingezogen, dadurch kommt es zu aufgestauten Weichteilen; suprakondylärer Eingriff falsch positioniert, falsches Prothesenkonzept";"Stolpergefahr, weil Prothese ""pumpt"" (in der Schwungphase bewegt die Prothese sich nach distal, ohne dass der Schaft vom Stumpf gleitet)";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik, Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Verhalten bei Stumpfschwankungen / gleichbleibendes Körpergewicht"
